Identifier (RIC),Company Name,Country of Headquarters,"Company Market Cap
(EUR)","Total Assets
(FY-1, EUR)","Retained Earnings
(FY-1, EUR)","Earnings before Interest & Taxes (EBIT)
(FY-1, EUR)","Total Liabilities
(FY-1, EUR)","Revenue from Business Activities - Total
(FY-1, EUR)","Working Capital
(FY-1, EUR)",Organization Status Code,TRBC Economic Sector Name,Delisted Quote Flag,Issuer Rating,Credit Combined PD (%),Region
ARVLF.PK,Arrival SA,Luxembourg,1614.25,449889000,-83215000,-97582000,129578000,,114603000,Act,Consumer Cyclicals,FALSE,,0.01,West
ALMUN.PA,Munic SA,France,4435468.74,20677934,-1119653,-2150555,9290569,9498575,2056436,Act,Technology,FALSE,,0,West
ALPAU.PA,Paulic Meunerie SA,France,7375069.32,18362434,-547271,-316072,11543485,19194957,-901045,Act,Consumer Non-Cyclicals,FALSE,,0,West
9TS.D,Tubesolar AG,Germany,90000,18788391.72,-1401662.71,-2316156.03,3302961.08,2393915.43,5191713.83,Act,Energy,FALSE,,0.01,West
NCEL.OQ,NewcelX AG,Switzerland,17092508.68,2156975.44,-3918646.64,-3512278.02,798571.35,,1351089.33,Act,Healthcare,FALSE,,0.01,West
BE6321066613.BR,T Palm International Luxembourg SA,Belgium,,,,,,,,Act,Consumer Cyclicals,FALSE,,,West
HYL.BR,Hyloris Pharmaceuticals SA,Belgium,130041869.8,41335000,-6342000,-6868000,9192000,8458000,22545000,Act,Healthcare,FALSE,,0,West
C900n.D,Auto.De AG,Germany,53160000,77261942.77,-80361059.4,-104340.9,4492323.89,,34171.85,Act,Technology,FALSE,,,West
ALNRG.PA,Energisme SA,France,13074595.03,11958231,-3480888,-3504176,8902483,4832041,1147497,Act,Technology,FALSE,,0.01,West
KTAG.DE,Knaus Tabbert AG,Germany,111244216.5,639544000,-78105000,-47498000,526298000,1082085000,-36203000,Act,Consumer Cyclicals,FALSE,,0.01,West
NYXH.BR,Nyxoah SA,Belgium,152699490.6,158406000,-59236000,-58809000,45152000,4521000,76554000,Act,Healthcare,FALSE,,0.02,West
IPO-IMPLANT.ST,Implantica AG,Liechtenstein,243375632.7,104079000,-23333000,-23797000,3921000,1936000,63719000,Act,Healthcare,FALSE,,,West
VIAOY.PK,VIA optronics Holding AG,Germany,1194066.25,161666399,-11756084,-14570337,96152998,180802496,46487827,Act,Technology,FALSE,,0.01,West
ENR1n.DE,Siemens Energy AG,Germany,1.33E+11,50874000000,1183000000,-2124000000,41510000000,34465000000,-3392000000,Act,Energy,FALSE,Baa1,0,West
ALECO.PA,Ecomiam SA,France,12271666.35,12808903,-3185822,-3063091,5977392,40369758,6018491,Act,Consumer Non-Cyclicals,FALSE,,0,West
BANQ.BR,Banqup Group SA,Belgium,77901703.52,323284000,-52152000,-33562000,175026000,54371000,10369000,Act,Technology,FALSE,,0.01,West
HAGG.DE,Hensoldt AG,Germany,7495950000,4696000000,50250000,257000000,3810000000,2240000000,524000000,Act,Industrials,FALSE,,0,West
SSUNF.PK,SIGNA Sports United NV,Germany,340.46,742900000,-37700000,-29700000,369500000,813700000,128400000,Act,Consumer Cyclicals,FALSE,,,West
4NJ.D,Deutsche Payment A1M SE,Germany,2538620.62,1454636.01,-632221.05,-740049.76,574831.32,444570.57,116569.8,Act,Industrials,FALSE,,0.01,West
C0M.F,CCS Abwicklungs AG,Germany,78581.67,153990000,-21613000,-9666000,32247000,57466000,85845000,Act,Industrials,FALSE,,0.03,West
AMBP.N,Ardagh Metal Packaging SA,Luxembourg,2420641835,5275745800,-257895300,215395700,5407108200,4740637200,175793800,Act,Basic Materials,FALSE,B3,0,West
AUNA.N,Auna SA,Luxembourg,334855007.2,1821909867,28373360.74,197643225.3,1404318096,1128571774,-62115405.66,Act,Healthcare,FALSE,B+,0.01,West
MLTX.OQ,MoonLake Immunotherapeutics,Switzerland,1418397912,461635757.1,-114879815.9,-138211676.1,23705255.92,,436417752.1,Act,Healthcare,FALSE,,0,West
ALEP.WA,Allegro.eu SA,Luxembourg,9175138024,4566357760,278090480.6,477264657,2206320179,2425559171,618193079.4,Act,Consumer Cyclicals,FALSE,,0,West
123F.DE,123fahrschule SE,Germany,14340419.16,20288818.52,-7030595.24,-3186826.64,8937925.21,22514188.71,434055.82,Act,Technology,FALSE,,0.01,West
KING.OL,Kingfish Company NV,Netherlands,16000881.99,187222000,-9242000,-4177000,105120000,21909000,34332000,Act,Consumer Non-Cyclicals,FALSE,,0.07,West
TPG0n.DE,Platform Group SE & Co KgaA,Germany,22230337.68,323179000,33949164,25419778,188112000,524642382,73418000,Act,Technology,FALSE,,0.01,West
MLLCB.EUA,Les Constructeurs du Bois SA,France,10016257.09,32540068,887888,2350988,27294717,23556998,15216400,Act,Industrials,FALSE,,0,West
ALVO.OQ,Alvotech SA,Luxembourg,1093424127,1179750260,-223957437.6,67269139.6,1578445769,475201550.2,252702621.6,Act,Healthcare,FALSE,,0.01,West
CABKA.AS,Cabka NV,Netherlands,48126504.8,173524000,-13061590,136000,116779000,181868000,-8121000,Act,Basic Materials,FALSE,,0,West
LILMF.PK,Lilium NV,Germany,55577.5,288831000,-253064000,-282434000,85328000,0,147963000,Act,Industrials,FALSE,,0.16,West
ALWF.PA,Winfarm SA,France,7757040.34,75491000,-3773000,-4235000,59295000,138027000,4908000,Act,Consumer Non-Cyclicals,FALSE,,0,West
BE0146350740.BR,Alme Invest NV,Belgium,,,,,,,,Act,Industrials,FALSE,,,West
NA9n.DE,Nagarro SE,Germany,522577690.7,795701000,49156000,87813000,573041000,971987000,285933000,Act,Technology,FALSE,,0,West
8HC.D,Cogia AG,Germany,602000,17892700,-707000,-697000,5523900,1280000,1183300,Act,Technology,FALSE,,,West
ALHPI.PA,Hopium SA,France,3287829.23,3782603,-10520505,-8092904,39341902,,-21164948,Act,Consumer Cyclicals,FALSE,,0.01,West
LUXE.N,LuxExperience BV,Germany,904382419.7,696511000,-24911000,-3476000,260868000,840852000,225282000,Act,Technology,FALSE,,0,West
PHVS.OQ,Pharvaris NV,Netherlands,2081479304,,,,,,,Act,Healthcare,FALSE,,0,West
MPCES.OL,MPC Energy Solutions NV,Netherlands,27627248.65,119371717.4,-17196883.6,-3102470.8,70849730.9,7111921.7,17678867.7,Act,Utilities,FALSE,,0.01,West
INPST.AS,InPost SA,Luxembourg,7695539348,3016460498,291800813.9,484143220.1,2441609151,2554848082,-151000838.1,Act,Industrials,FALSE,Ba1,0,West
AG1G.DE,AUTO1 Group SE,Germany,5173625343,2208487000,20894000,42050000,1595612000,6271911000,1080141000,Act,Technology,FALSE,,0,West
CDRO.OQ,Codere Online Luxembourg SA,Luxembourg,385072888,74540000,3908000,4565000,50320000,200704000,17961000,Act,Consumer Cyclicals,FALSE,,0,West
BE6326475389.BR,Broux J Kiggen BVBA,Belgium,,,,,,,,Act,Consumer Cyclicals,FALSE,,,West
ALHRS.PA,Hydrogen-Refueling-Solutions SA,France,34571033.52,117996000,-10411000,-13606000,67091000,24781000,20448000,Act,Energy,FALSE,,0.01,West
DTGGe.DE,Daimler Truck Holding AG,Germany,31550392443,73854000000,1248000000,4870000000,51004000000,50173000000,14852000000,Act,Industrials,FALSE,,0,West
TE.PA,Technip Energies NV,France,5886395964,9240900000,289200000,460100000,7126100000,6718900000,270100000,Act,Energy,FALSE,,0,West
HTGG.DE,HomeToGo SE,Luxembourg,199417501.2,380765000,-30796000,-19488000,113542000,212278000,42042000,Act,Technology,FALSE,,0.01,West
NAMS.OQ,NewAmsterdam Pharma Company NV,Netherlands,3413752838,835136458,-233359508.2,-170277545.1,103467208,44009301.7,730698520.5,Act,Healthcare,FALSE,,0,West
81D.DE,swissnet AG,Switzerland,18157467.72,19989811.43,,-1399530.98,11355063.38,6615594.29,2288438.58,Act,Technology,FALSE,,0.01,West
PRYME.OL,Pryme NV,Netherlands,5579023.27,29405000,-44308000,-19637000,22813000,102000,3451000,Act,Basic Materials,FALSE,,0.04,West
9JKn.MU,International School Augsburg AG,Germany,3255721,9249528.42,157689.91,133365.28,3932873.54,6461784.88,-43022.3,Act,Academic & Educational Services,FALSE,,0,West
VTWRn.H,Vantage Towers AG,Germany,19523195429,11458946000,-20231290.6,238995000,3879173000,612196000,-1589544000,Act,Industrials,FALSE,WR,0,West
MLTV.EUB,Choice NV,Belgium,390264.22,,,,,,,Act,Technology,FALSE,,,West
VH2.DE,Friedrich Vorwerk Group SE,Germany,1410000000,437560000,29771000,51595000,232554000,498353000,112871000,Act,Industrials,FALSE,,0,West
AZRN.AS,Azerion Group NV,Netherlands,123947118.2,679100000,-60500000,-4600000,621900000,497300000,-39900000,Act,Technology,FALSE,,0.01,West
EKOP.BR,Ekopak NV,Belgium,67129810.66,155982000,-12232000,-13059000,114777000,47637000,-10686000,Act,Utilities,FALSE,,0.01,West
ALLGF.PK,Allego NV,Netherlands,528285.65,482318000,-109898000,-56757000,561640000,145453000,35329000,Act,Industrials,FALSE,,0.22,West
90Y.D,Ikonia FinTech AG,Germany,350000,,,,,,,Act,Technology,FALSE,,,West
ALLGO.PA,Largo SA,France,7210793.75,19041008,-2808958,-2554477,18163775,35366477,6420832,Act,Industrials,FALSE,,0.01,West
TNIE.DE,tonies SE,Luxembourg,1565299211,558496000,13083000,12703000,212104000,480547000,104929000,Act,Consumer Cyclicals,FALSE,,0,West
AERO.S,Montana Aerospace AG,Switzerland,1390555644,1830732000,18388000,63473000,901344000,851025000,366593000,Act,Industrials,FALSE,,0,West
9DD.D,Cannabis.de Media AG,Germany,725000,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,West
PPGN.S,PolyPeptide Group AG,Switzerland,1671398928,756576000,-19564000,-5879000,399332000,338770000,133719000,Act,Healthcare,FALSE,,0,West
HGEA.DE,hGears AG,Germany,8840000,107018000,-21168000,-15586000,54142000,95711000,7235000,Act,Consumer Cyclicals,FALSE,,0.01,West
27N0k.DE,Cannovum Cannabis AG,Germany,1127836.32,408085,-3170025,-3170025,271858,3988,,Act,Healthcare,FALSE,,0,West
ALBIZ.PA,Obiz SA,France,14955550.72,55235374,-2589119,-205618,43269921,125878729,14626538,Act,Consumer Cyclicals,FALSE,,0.02,West
TRIFOR.CO,Trifork Group AG,Switzerland,241179063.3,334308000,13478000,7854000,199484000,205948000,-9488000,Act,Technology,FALSE,,0,West
OCS.OQ,Oculis Holding AG,Switzerland,654044402.6,128140391,-91327165.23,-77940634.48,50009174.38,,64587109.57,Act,Healthcare,FALSE,,0,West
991.MU,Vitruvia Medical AG,Switzerland,5274313.8,,,,,,,Act,Healthcare,FALSE,,0,West
HKD.N,AMTD Digital Inc,France,438990110.3,462123178.7,40836894.98,-1713673.9,316245883.9,20962872.04,-71754696.26,Act,Technology,FALSE,,0,West
AQP1.D,Action Press AG,Germany,4410000,25436052.43,-326024.62,-199337.83,4136030.38,265221.38,,Act,Consumer Cyclicals,FALSE,,,West
ALNMR.PA,Nam.R SA,France,1338131.39,8786911,-4034305,-4305815,8673033,1905464,-1472390,Act,Technology,FALSE,,0.01,West
ALODC.PA,Omer Decugis & Cie SA,France,75366030.14,72422017,2280459.36,4056844,40630338,246954537,9210509,Act,Consumer Non-Cyclicals,FALSE,,0,West
NXFIL.AS,NX Filtration NV,Netherlands,202359929.4,156305000,-23089000,-22996000,34611000,10085000,67727000,Act,Industrials,FALSE,,0,West
ARAMI.PA,Aramis Group SA,France,237920437.3,608795000,7503000,14254000,418605000,2237537000,88698000,Act,Consumer Cyclicals,FALSE,,0,West
HDF.PA,Hydrogene De France SA,France,49339588.92,100689000,-11095000,-15143000,10745000,11126000,45678000,Act,Industrials,FALSE,,0,West
BTLS.BR,Biotalys NV,Belgium,141612608.7,36747000,-13188000,-13492000,9142000,,21473000,Act,Consumer Non-Cyclicals,FALSE,,0,West
ALNFL.PA,Nfl Biosciences SAS,France,10631613.11,3609849,-2080839,-2790091,1443419,,1915898,Act,Healthcare,FALSE,,0,West
ARVEN.PA,Arverne Group SA,France,284767863.9,255119000,-9993000,-20536000,85238000,14147000,107422000,Act,Utilities,FALSE,,0.01,West
ALSPT.PA,Spartoo SA,France,4181449.6,89015000,-2334000,4856000,59433000,130463000,35692000,Act,Consumer Cyclicals,FALSE,,0,West
ALBOA.PA,Boa Concept SA,France,12873442.55,27725767,,39434,10910936,13027500,11691734,Act,Industrials,FALSE,,0,West
C3RY.DE,Cherry SE,Germany,2946398.99,238554000,-126881000,-13302000,116445000,126461000,51901000,Act,Technology,FALSE,,0.02,West
BIKE.DE,Bike24 Holding AG,Germany,113508331.6,220671000,-13618000,-14438000,96174000,226311000,28483000,Act,Consumer Cyclicals,FALSE,,0,West
ALAGO.PA,E-Pango SA,France,7499645.21,2541060,-1386857,-855702,4347111,67614,-1203334,Act,Utilities,FALSE,,0.01,West
ALENO.PA,Enogia SA,France,36171715.96,21913000,-965000,-1213000,14179000,8016000,5005000,Act,Industrials,FALSE,,0,West
MLBBO.EUA,BEBO Health SA,Switzerland,495291.1,,,,,,,Act,Consumer Cyclicals,FALSE,,,West
IDNTT.MI,IDNTT SA,Switzerland,27512882.32,19789000,771000,1670000,11385000,21571000,3163000,Act,Consumer Cyclicals,FALSE,,0,West
ALIKO.PA,Ikonisys SA,France,23735542.28,21715216,-2448320,-2434782,4043743,616866,-2070775,Act,Healthcare,FALSE,,0,West
9MQ.D,HWK 1365 SE,Germany,1651104,167465.65,-30993.87,-15918.36,3844.65,,,Act,Basic Materials,FALSE,,0.01,West
SOPH.OQ,Sophia Genetics SA,Switzerland,423786449.3,150012963.1,-60361988.7,-64298031.2,56813272.1,62950600.7,70126271.8,Act,Healthcare,FALSE,,0,West
NVM.DE,Novem Group SA,Luxembourg,112739393.9,568070000,11132000,44696000,474126000,541464000,177988000,Act,Consumer Cyclicals,FALSE,,0,West
DEEZR.PA,Deezer SA,France,131647230.1,184138000,-25889000,-27479000,425600000,541715000,-252871000,Act,Technology,FALSE,,0,West
ALAIR.PA,Groupe Airwell SA,France,9235629.85,46241315,-1708444,-2078207,37340579,50632372,10769550,Act,Industrials,FALSE,,0.01,West
14Dn.DE,Tokentus Investment AG,Germany,5690756.25,9205071.95,-2335892.39,-893093.56,203512.04,35224.84,,Act,Technology,FALSE,,0,West
BE0034574427.BR,Nobel NV,Belgium,,,,,,,,Act,Industrials,FALSE,,,West
CNCK.OQ,Coincheck Group NV,Netherlands,370545690.8,692677411.9,-88470453.48,-3434009.94,626284498,2363301668,44685285.5,Act,Industrials,FALSE,,0.01,West
SRAD.OQ,Sportradar Group AG,Switzerland,3910552137,2294641000,34150000,135059000,1364794000,1106556000,199416000,Act,Technology,FALSE,Ba3,0,West
ONON.N,On Holding AG,Switzerland,10855214548,2530483388,257977921.1,225291490.3,1048627546,2468304641,1170429751,Act,Consumer Cyclicals,FALSE,,0,West
ALAFY.PA,AFYREN SA,France,102832758.7,58560000,-9754000,-6078000,5862000,2862000,42264000,Act,Industrials,FALSE,,0,West
ALESE.PA,Entech SA,France,150384123.9,,,,,,,Act,Industrials,FALSE,,0,West
AZE.BR,Azelis Group NV,Belgium,2414296176,5762880000,125793000,391007000,2842734000,4214014000,764030000,Act,Industrials,FALSE,,0,West
UMG.AS,Universal Music Group NV,Netherlands,33704726702,17320000000,1574000000,1775000000,12769000000,11834000000,-3051000000,Act,Consumer Cyclicals,FALSE,Baa1,0,West
OVH.PA,Ovh Groupe SA,France,2059928479,1669761000,-10297000,27747000,1276768000,993053000,-219495000,Act,Technology,FALSE,Ba3,0.01,West
PYRG.DE,Pyrum Innovations AG,Germany,112619893.1,65465028.55,-10134911.63,-8890813.81,43220062.93,2022053.38,8582169.05,Act,Industrials,FALSE,,,West
MEDX.S,medmix AG,Switzerland,353626867.3,1015941116,-29593864.28,36838778.66,540337577.2,515210548.9,104660460.8,Act,Healthcare,FALSE,,0,West
WAGA.PA,Waga Energy SA,France,615225199.7,295017000,-17583000,-13105000,160933000,55662000,67138000,Act,Energy,FALSE,,0.01,West
MAAT.PA,Maat Pharma SA,France,47648097.23,38501000,-28904000,-31945000,28165000,3216000,13082000,Act,Healthcare,FALSE,,0.02,West
75Sn.F,Sdm SE,Germany,152066.64,13917484.87,411785.92,-530389.7,7002748.41,54878.12,1417415.11,Act,Industrials,FALSE,,0.05,West
PO1n.DE,Pob AG,Germany,2132667.68,,,700000,,9500000,,Act,Technology,FALSE,,0,West
VEZ.DE,Planethic Group AG,Germany,3108080.07,24969000,-9511000,-7945100,18457000,16418000,5519900,Act,Consumer Non-Cyclicals,FALSE,,0.04,West
ONWD.BR,ONWARD Medical NV,Netherlands,183330598.4,76137000,-35725000,-34862000,28083000,229000,54328000,Act,Healthcare,FALSE,,0,West
ALFOR.PA,Forsee Power SA,France,29955471.95,169394000,-12074000,-9055000,121840000,151766000,33038000,Act,Industrials,FALSE,,0.01,West
EBUS.AS,Ebusco Holding NV,Netherlands,65514955.39,180063000,-200632000,-142709000,152561000,10665000,6012000,Act,Industrials,FALSE,,0.01,West
QUCY.OQ,Quantum Cyber NV,Germany,32601683.2,12786745.51,-20912375.39,-17790185.74,6946389.62,863505.91,1829882.1,Act,Technology,FALSE,,0.01,West
ALCBI.PA,Crypto Blockchain Industries SA,France,27032443.96,28119400,-475100,157200,14025000,4080800,4414200,Act,Technology,FALSE,,0.03,West
SSM.OQ,Sono Group NV,Germany,5507553.34,3051000,65026000,-6316223.15,25732000,0,-22868000,Act,Consumer Cyclicals,FALSE,,0.01,West
7V0.DE,Darwin AG,Germany,90000000,152962034.6,11349977.71,33007876.14,46774559.55,25293901.5,84181851.67,Act,Healthcare,FALSE,,0,West
MLAA.EUA,L Agence Automobiliere SA,France,2197298.71,,,,,,,Act,Consumer Cyclicals,FALSE,,,West
37Gn.D,Ceritech AG,Germany,970036.32,118069.27,-18526.15,-20946.63,6603.93,,115923.86,Act,Basic Materials,FALSE,,0,West
ALTOO.PA,Toosla SA,France,160048.2,22146181,-3860156,-2796212,26559869,10580438,3506559,Act,Technology,FALSE,,0.21,West
ALGRO.PA,Grolleau SA,France,9821608.93,32135000,-1461000,-719000,20220000,39884000,8124000,Act,Industrials,FALSE,,0,West
ALTHO.PA,Metavisio SA,France,1108318.3,80874531,-4189900,-847673,54753586,53101552,28798412,Act,Technology,FALSE,,0.02,West
EGOXF.PK,NexteGO NV,Germany,111.03,241166000,-41242000,-59634000,72068000,3512000,19818000,Act,Consumer Cyclicals,FALSE,,,West
EFIT.MU,EasyMotionSkin Tec GmbH,Austria,123224000,2869779.72,,2617643.25,3451048.96,9892106.96,712670.44,Act,Healthcare,FALSE,,0,West
SHMD.OQ,SCHMID Group NV,Germany,301429472.9,93100000,-84111000,-11518000,153544000,60836000,-39617000,Act,Technology,FALSE,,0.02,West
BNJ.AS,Banijay Group NV,France,3635640601,5867600000,-1900000,565500000,5834400000,4803300000,-247100000,Act,Consumer Cyclicals,FALSE,,0,West
RSGN.S,R&S Group Holding AG,Switzerland,1040662132,275116470.8,24154952.93,67334047.4,280763663.9,300913198.2,88795297.73,Act,Industrials,FALSE,,0,West
MS1.DE,Marley Spoon Group SE,Luxembourg,1019863.86,76254000,-18161000,-3463000,141788000,307681000,-37001000,Act,Consumer Cyclicals,FALSE,,0.55,West
AELIS.PA,Aelis Farma SA,France,13155855.75,19706000,-7456000,-9398000,9590000,2678000,13320000,Act,Healthcare,FALSE,,0.01,West
OJ2.D,Calvert International AG,Germany,1243000,4887378,70401,208135,1912994,2144278,2291042,Act,Industrials,FALSE,,0,West
ALHAF.PA,Haffner Energy SA,France,37123331.96,45718000,-9935000,-10263000,18950000,-157000,21928000,Act,Energy,FALSE,,0.03,West
ALHUN.PA,Hunyvers SA,France,28052752.34,96230362,1838152,3228145,67660544,130326061,31514281,Act,Consumer Non-Cyclicals,FALSE,,0,West
P911_p.DE,Dr Ing hc F Porsche AG,Germany,19686710000,53527000000,2540000000,5677000000,30471000000,40087000000,5945000000,Act,Consumer Cyclicals,FALSE,,0,West
V1W0g.D,Elaris AG,Germany,3267000,16914549.03,-3480207.78,-2861047.81,12093185.73,3035076.39,9429224.22,Act,Consumer Cyclicals,FALSE,,0.06,West
MLMAZ.EUB,Mazaro NV,Belgium,274872.08,5443267,-195420.7,-390507.36,1446827.51,79372.4,2903511,Act,Consumer Cyclicals,FALSE,,,West
BOGn.DE,Stock3 AG,Germany,32480000,7688911.44,-1659290.12,-1866083.26,4466516.21,10617195.12,3776895.55,Act,Technology,FALSE,,0,West
MLBON.EUA,Bonyf NV,Belgium,2351509.13,,,,,,,Act,Healthcare,FALSE,,,West
ALSMA.PA,SMAIO SA,France,46761234.02,11796497,-2348843,-3184139,4948559,5497173,5224483,Act,Healthcare,FALSE,,0,West
EAPI.PA,Euroapi SA,France,126144044.3,1489500000,-130600000,-8500000,506000000,919200000,501900000,Act,Healthcare,FALSE,,0.01,West
YOUNI.PA,younited Financial SA,Luxembourg,411092951.1,1224448000,-83439000,-88705000,985974000,43375000,,Act,Industrials,FALSE,,0.01,West
VMEn.DE,Viromed Medical AG,Germany,150875000,20344580.32,-226368.08,-440266.59,596997.32,,200647.36,Act,Healthcare,FALSE,,0,West
LHYFE.PA,Lhyfe SA,France,95164456.96,222452000,-29091000,-28404000,150777000,5099000,44423000,Act,Utilities,FALSE,,0.02,West
C45.D,Faveos Se,Germany,17704250,250241,-13689,-13689,4000,,246241,Act,Utilities,FALSE,,0,West
LP2.D,EHTI Eurasia High Technology Industries SE,Germany,175875000,0,0,0,0,,0,Act,Consumer Non-Cyclicals,FALSE,,,West
ALBPK.PA,Broadpeak SA,France,28559933.4,50870000,-4024000,-7898000,30709000,39380000,6313000,Act,Technology,FALSE,,0,West
ALVIN.PA,Vinpai SA,France,16400931.22,10317730,-2918475,-2508822,10771539,9156718,-4206832,Act,Consumer Non-Cyclicals,FALSE,,0,West
ALFUM.PA,Fill Up Media SA,France,18773128.41,23628872,-2527190,-2105851,20431034,9731119,1974153,Act,Consumer Cyclicals,FALSE,,0,West
DEME.BR,DEME Group NV,Belgium,4454934973,5475611000,235162087.8,358038000,3301541000,4101159000,-196354000,Act,Industrials,FALSE,,0,West
ALOKW.PA,Groupe Okwind SA,France,2474232.26,69750000,-3615000,-1862000,37041000,57077000,26322000,Act,Utilities,FALSE,,0.1,West
ALICA.PA,Icape Holding SA,France,54932105.81,159615000,4285536.34,8184000,128454000,179244000,2961000,Act,Technology,FALSE,,0.01,West
ALCWE.PA,Charwood Energy SA,France,18356838.13,11031296,-3503961,-3437628,6173720,5059316,5126803,Act,Utilities,FALSE,,0.01,West
FU0A.DE,Cerdios Se,Liechtenstein,2100000,163156,-39310,-38110,18059,0,143728,Act,Technology,FALSE,,,West
ALVAZ.PA,Vaziva SA,France,91065337.17,,,,,,,Act,Consumer Non-Cyclicals,FALSE,,,West
BE0059682279.BR,Schreder SA,Belgium,,,,,,,,Act,Consumer Cyclicals,FALSE,,,West
ACLN.S,Accelleron Industries AG,Switzerland,8239274194,1191684920,85798965.2,254455730.1,854404231.2,987657863.4,449191795,Act,Industrials,FALSE,,0,West
9HF.D,HenriPay Holding NV,Germany,4025000000,,,,,,,Act,Industrials,FALSE,,0,West
ALOPM.PA,Oncodesign Precision Medicine Opm SA,France,6651194.73,10711067.41,-7209619.42,-7807081.66,11140456.1,207040,-1707866.91,Act,Healthcare,FALSE,,0,West
HIGHG.DE,Cantourage Group SE,Germany,73150000,46100843.05,79292.2,117634.87,1764159.89,2195385.79,2701786.14,Act,Consumer Non-Cyclicals,FALSE,,0,West
ALCAB.PA,Cabasse SA,France,452502.57,8622838,-2556190,-2053942,10203825,6732621,-1692351,Act,Consumer Cyclicals,FALSE,,0.02,West
VAS.VI,VAS AG,Austria,5093737.92,,,,,,,Act,Utilities,FALSE,,,West
ACAGr.AT,Austriacard Holdings AG,Austria,354378090.5,331593000,15338000,34789000,206788000,392285000,76906000,Act,Technology,FALSE,,0,West
IOSn.DE,IONOS Group SE,Germany,3718400000,1643586000,169666000,343348000,1484826000,1560301000,-90473000,Act,Technology,FALSE,,0,West
ALLPL.PA,Lepermislibre SA,France,1385720.78,5980215,-2314870,-2321993,6885546,13107830,2607957,Act,Academic & Educational Services,FALSE,,0.02,West
ALFLO.PA,Florentaise SA,France,4943138.86,101350000,-26000,1292000,68236000,66700000,-11784000,Act,Basic Materials,FALSE,,0.01,West
DSFIR.AS,DSM-Firmenich AG,Switzerland,20260176004,33747000000,-334180507.5,942000000,11050000000,9054000000,4439000000,Act,Consumer Non-Cyclicals,FALSE,A3,0,West
NCH2.DE,thyssenkrupp nucera AG & Co KgaA,Germany,894310200,1261000000,11000000,-13000000,507000000,862000000,673000000,Act,Industrials,FALSE,,0,West
ALMCE.PA,Mon Courtier Energie SAS,France,22285561.04,20981000,-1553094.46,-167000,11043000,24672000,8762000,Act,Utilities,FALSE,,0,West
REFL.OL,Refuels NV,Netherlands,84417348.56,210136410.3,-4479834.66,-3582568.16,95837850.29,0,114298560,Act,Energy,FALSE,,0,West
LAES.OQ,Sealsq Corp,Switzerland,610605709.3,94238999.4,-20478045.9,-16604786.9,19030161.8,10606547.9,74900715.5,Act,Technology,FALSE,,0,West
PLNW.PA,Planisware SA,France,1260795929,300507000,21911700,51834000,105608000,183447000,155307000,Act,Technology,FALSE,,0,West
ALWTR.PA,Osmosun SA,France,18882188.34,4982717,-6328307,-6145074,3460177,1873857,2149689,Act,Utilities,FALSE,,0,West
JY0n.H,ParTec AG,Germany,112800000,74999384.72,11198381.32,17303925.99,55058120.77,36092633.46,42381569.81,Act,Technology,FALSE,,0.01,West
ALPET.PA,Pet Service Holding NV,Netherlands,11890107.84,,,,,,,Act,Consumer Cyclicals,FALSE,,0,West
ETS.VI,EuroTeleSites AG,Austria,756599860.2,2063693000,29650000,106008000,1720806000,270158000,-58028000,Act,Industrials,FALSE,,0,West
1SXP.DE,SCHOTT Pharma AG & Co KgaA,Germany,2614669734,1437914000,125587000,190587000,649423000,957091000,148766000,Act,Healthcare,FALSE,,0,West
XX10k.H,ABO Kraft & Waerme AG,Germany,3267400,33481750.11,-5206229.43,-4517441.08,15635920.1,14654693.48,5551647.99,Act,Utilities,FALSE,,0.03,West
R3NK.DE,RENK Group AG,Germany,4221000000,1589227000,11323000,189201000,1142560000,1140504000,393351000,Act,Industrials,FALSE,Ba1,0,West
SDZ.S,Sandoz Group AG,Switzerland,34318793478,19228171300,-276247400,1536746900,11342563700,10029905600,1443054600,Act,Healthcare,FALSE,Baa2,0,West
286n.MU,NCTE AG,Germany,3311004.9,4157586.25,80011.2,180924.69,900668.09,6041152.21,,Act,Industrials,FALSE,,0.01,West
033A.D,Spac Four AG,Germany,500000,210892.87,-13505.28,-13505.28,5880,,210892.87,Act,Industrials,FALSE,,0,West
RWTA.VI,Rwt AG,Austria,34247896.72,,,,,,,Act,Industrials,FALSE,,,West
SYENS.BR,Syensqo NV,Belgium,6891093362,12373000000,-129000000,722000000,4891000000,6445000000,1365000000,Act,Basic Materials,FALSE,P-2,0,West
ALSTI.PA,Stif France SAS,France,271075545.1,51259382,8714865.15,13735758,27821716,61234620,16920210,Act,Industrials,FALSE,,0,West
CA1.DE,Circus SE,Germany,131310875,22784477,-4968758,-4797745,5416408,633585,1059502,Act,Industrials,FALSE,,0.01,West
24I.D,Chainledger Systems AG,Germany,2880000,315957.3,-71483.31,-37838.01,34749.43,,,Act,Technology,FALSE,,0,West
PLX.PA,Pluxee NV,France,1646332601,5947000000,82000000,336000000,5594000000,1210000000,260000000,Act,Industrials,FALSE,,0,West
XCH.OQ,XCHG Ltd,Germany,55815458.04,55189399.09,-12656537.36,-11620668.53,26686768.03,40764515.19,27260356.16,Act,Utilities,FALSE,,0.01,West
ALCPA.PA,MacomptaFr SA,France,14914211.18,3401314,701288,759129,1152844,3161817,192337,Act,Technology,FALSE,,0,West
